㐀	丘	MJ000004
㐅	五	MJ000009
㐌	色	MJ000011
𬼜	色	MJ000012
㐜	仇	MJ000015
㐡	懦	MJ000016
㐧	第	MJ000018
㐪	亥	MJ000022
㐪	亥	MJ000023
㐭	廩	MJ000026
㐯	庸	MJ000030
㐰	信	MJ000031
㐱	爾	MJ000032
㐳	兀	MJ000034
㐴	攀	MJ000035
㐶	化	MJ000036
㐶	化	MJ000037
㐸	欠	MJ000038
㐹	仡	MJ000039
㐺	乑	MJ000040
㐼	拯	MJ000042
㑂	仿	MJ000047
㑂	仿	MJ000048
㑃	拗	MJ000049
㑄	侮	MJ000050
㑅	作	MJ000051
㑌	尩	MJ000056
㑒	僉	MJ000062
㑓	俊	MJ000063
㑘	价	MJ000065
㑚	那	MJ000067
㑞	媵	MJ000070
㑦	戻	MJ000076
㑧	悸	MJ000077
㑴	侵	MJ000084
㑵	嫉	MJ000085
㑶	愾	MJ000086
㑷	態	MJ000087
㑹	會	MJ000089
㑹	會	MJ013511
㑹	會	MJ057674
㑾	傜	MJ000093
㒃	貳	MJ000098
㒆	翕	MJ000101
㒇	憮	MJ000102
㒉	惝	MJ000104
㒋	厮	MJ000107
㒌	㷀	MJ000108
㒓	達	MJ000113
㒖	藕	MJ000116
㒚	穏	MJ000118
㒞	儁	MJ000122
㒟	裊	MJ000123
㒤	懾	MJ000126
㒦	儡	MJ000128
㒧	儷	MJ000129
㒧	儷	MJ000130
㒨	仙	MJ000131
㒩	裸	MJ000132
㒪	錫	MJ000133
㒫	旡	MJ000134
㒭	昆	MJ000135
㒯	燁	MJ000136
㒰	全	MJ000137
㒲	財	MJ000138
㒳	兩	MJ000139
㒶	公	MJ000142
㒸	遂	MJ000143
㒸	遂	MJ000144
㒹	顚	MJ000145
㒹	顚	MJ000146
㒻	冒	MJ000148
㓂	寇	MJ000155
㓃	詫	MJ000156
㓃	詫	MJ000157
㓔	謝	MJ000172
㓕	滅	MJ000173
㓗	潔	MJ000175
㓗	潔	MJ000176
㓘	玊	MJ000177
㓙	凶	MJ000178
㓜	幼	MJ000181
㓝	刑	MJ000182
㓞	契	MJ000183
㓞	契	MJ000184
㓞	契	MJ000185
㓠	玷	MJ000187
㓡	弣	MJ000188
㓣	割	MJ000190
㓨	刺	MJ000193
㓪	朗	MJ000195
㓬	刳	MJ000196
㓭	鞨	MJ000197
㓮	彫	MJ000198
㓵	鍔	MJ000206
㓵	鍔	MJ000207
㓶	鍥	MJ000208
㓶	鍥	MJ000209
㓷	劓	MJ000210
㓸	𠠇	MJ000211
㓹	鋭	MJ000212
㓻	剛	MJ000214
㓼	刹	MJ000215
㔃	絶	MJ000221
㔑	刹	MJ000232
㔘	黜	MJ000238
㔜	勃	MJ000241
㔜	勃	MJ000242
㔥	疲	MJ000252
㔫	左	MJ000259
㔬	卓	MJ000260
㔭	匙	MJ000261
㔰	恆	MJ000264
㔰	恒	MJ000265
㔱	庾	MJ000266
㔱	庾	MJ000267
㔳	簋	MJ000268
㔷	陋	MJ000273
㔹	仂	MJ000275
㔺	世	MJ000276
㔺	世	MJ000277
㔺	世	MJ000278
㔻	丕	MJ000279
㔽	卣	MJ000281
㔾	卩	MJ000282
㔿	奏	MJ000284
㕁	卻	MJ000285
㕂	吟	MJ000286
㕄	砥	MJ000288
㕍	堆	MJ000297
㕑	廚	MJ000300
㕓	廛	MJ000302
㕓	廛	MJ000303
㕕	幻	MJ000304
㕖	素	MJ000305
㕗	誘	MJ000306
㕚	爪	MJ000308
㕛	友	MJ000309
㕛	友	MJ000310
㕜	史	MJ000311
㕜	史	MJ000312
㕟	喟	MJ000315
㕠	雙	MJ000316
㕡	壑	MJ000317
㕡	壑	MJ000318
㕤	叴	MJ000321
㕫	仿	MJ000328
㕬	訟	MJ000329
㕭	咬	MJ000330
㕯	吶	MJ000332
㕯	吶	MJ000333
㕰	嘛	MJ000334
㕺	囂	MJ000343
㖁	吝	MJ000349
㖃	詬	MJ000351
㖇	咡	MJ000355
㖑	欸	MJ000358
㖗	崟	MJ000364
㖘	唇	MJ000365
㖧	吻	MJ000374
㖩	嗾	MJ000376
㖶	咽	MJ000380
㖶	咽	MJ000381
㖷	啼	MJ000382
㖸	噱	MJ000383
㖹	噴	MJ000384
㖼	謀	MJ000387
㖾	咢	MJ000388
㗀	呦	MJ000390
㗁	齶	MJ000391
㗂	省	MJ000392
㗃	吻	MJ000393
㗄	謾	MJ000394
㗆	嗝	MJ000396
㗊	雷	MJ000399
㗋	喉	MJ000400
㗐	嗑	MJ000403
㗕	鴝	MJ000407
㗖	啗	MJ000408
㗖	啗	MJ000409
㗙	謅	MJ000412
㗛	笑	MJ000414
㗜	齅	MJ000415
㗣	嚔	MJ000418
㗳	塔	MJ000431
㗽	響	MJ000439
㘋	礥	MJ000451
㘌	噱	MJ000452
㘓	讕	MJ000456
㘕	喊	MJ000457
㘛	嵌	MJ000460
㘝	囚	MJ000462
㘝	囚	MJ000463
㘡	柙	MJ000467
㘣	円	MJ000469
㘥	囮	MJ000471
㘧	序	MJ000473
㘪	耗	MJ000477
㘫	穽	MJ000478
㘬	佛	MJ000479
㘭	坳	MJ000480
㘰	斟	MJ000481
㘱	坍	MJ000482
㘳	丘	MJ000484
㘴	坐	MJ000485
㘴	坐	MJ000486
㘶	桀	MJ000487
㘷	艾	MJ000488
㘸	坐	MJ000489
㘹	堲	MJ000490
㘿	涅	MJ000493
㙁	牧	MJ000495
㙂	兌	MJ000496
㙄	陛	MJ000499
㙄	陛	MJ000500
㙅	保	MJ000501
㙉	腆	MJ000504
㙐	垜	MJ000508
㙑	宇	MJ000509
㙒	野	MJ000511
㙔	韓	MJ000514
㙕	塊	MJ000515
㙤	罅	MJ000528
㙨	畿	MJ000531
㙬	垠	MJ000535
㙯	埶	MJ000536
㙲	壅	MJ000539
㙵	臺	MJ000542
㙶	堂	MJ000543
㙹	夢	MJ000546
㙺	逵	MJ000547
㙻	廛	MJ000548
㙼	壘	MJ000549
㙾	礐	MJ000550
㚀	虧	MJ000551
㚁	翹	MJ000552
㚆	复	MJ000556
㚈	升	MJ000558
㚈	升	MJ057261
㚉	嬴	MJ000559
㚉	嬴	MJ000560
㚋	奝	MJ000563
㚌	夥	MJ000564
㚐	套	MJ000566
㚔	幸	MJ000571
㚕	弼	MJ000572
㚘	扶	MJ000575
㚜	域	MJ000578
㚝	奎	MJ000579
㚢	侮	MJ000583
㚢	奴	MJ000584
㚣	姣	MJ000585
㚦	姫	MJ000588
㚰	胚	MJ000597
㚶	姒	MJ000603
㚷	嬭	MJ000604
㚺	孕	MJ000607
㚿	包	MJ000612
㛁	怦	MJ000613
㛍	愜	MJ000621
㛐	嫂	MJ000624
㛕	姶	MJ000629
㛙	妾	MJ000633
㛛	娠	MJ000635
㛮	嫂	MJ000648
㛮	嫂	MJ000649
㛯	娩	MJ000650
㛰	婚	MJ000651
㛴	悩	MJ000654
㛽	姍	MJ000665
㜏	䢵	MJ000680
㜑	婆	MJ000682
㜛	嫩	MJ000690
㜜	傲	MJ000691
㜧	𡜆	MJ000701
㜫	媄	MJ000704
㜯	娭	MJ000706
㜲	嬴	MJ000711
㜲	嬴	MJ000712
㜵	嫋	MJ000715
㜸	孼	MJ000718
㜻	孌	MJ000721
㜼	姪	MJ000722
㜽	子	MJ000723
㜾	孩	MJ000724
㝀	好	MJ000725
㝃	娩	MJ000728
㝄	純	MJ000729
㝇	鶉	MJ000731
㝈	孿	MJ000732
㝊	守	MJ000733
㝌	疚	MJ000735
㝍	寫	MJ000736
㝎	定	MJ000737
㝏	介	MJ000738
㝐	容	MJ000739
㝑	旁	MJ000740
㝒	居	MJ000741
㝓	凹	MJ000742
㝕	寧	MJ000744
㝖	宜	MJ000745
㝙	寅	MJ000748
㝛	宿	MJ000750
㝟	冒	MJ000754
㝠	冥	MJ000755
㝧	穩	MJ000763
㝭	惺	MJ000769
㝱	夢	MJ000773
㝲	寢	MJ000774
㝴	刓	MJ000775
㝶	得	MJ000777
㝻	僅	MJ000780
㝿	跛	MJ000784
㞌	孕	MJ000797
㞐	居	MJ000800
㞑	尾	MJ000801
㞒	屓	MJ000802
㞕	屑	MJ000804
㞘	豚	MJ000807
㞙	尿	MJ000808
㞛	履	MJ000810
㞟	奠	MJ000812
㞡	展	MJ000813
㞢	之	MJ000814
㞣	芬	MJ000815
㞤	岑	MJ000816
㞧	會	MJ000820
㞩	嵐	MJ000822
㞫	走	MJ000824
㞮	出	MJ000827
㞯	屺	MJ000828
㞴	岷	MJ000833
㞶	岷	MJ000834
㞹	岢	MJ000837
㞺	族	MJ000838
㞼	丞	MJ000840
㞾	尼	MJ000842
㞿	岐	MJ000843
㟃	司	MJ000847
㟏	谽	MJ000858
㟔	谽	MJ000864
㟚	岐	MJ000868
㟝	培	MJ000871
㟟	巷	MJ000873
㟟	巷	MJ000874
㟠	岡	MJ000875
㟩	岷	MJ000882
㟫	泉	MJ000884
㟭	岷	MJ000886
㟵	岡	MJ000893
㟹	嶗	MJ000896
㟺	嶁	MJ000897
㟻	塹	MJ000898
㠊	嶇	MJ000912
㠌	嵌	MJ000914
㠐	嶠	MJ000918
㠒	㟽	MJ000920
㠕	嵬	MJ000923
㠕	嵬	MJ000924
㠖	嶬	MJ000925
㠗	嶴	MJ000926
㠗	嶴	MJ000927
㠘	嶼	MJ000928
㠙	崤	MJ000929
㠝	巑	MJ000932
㠩	荒	MJ000940
㠪	巨	MJ000941
㠭	展	MJ000942
㠮	肛	MJ000943
㠱	箕	MJ000947
㠸	褲	MJ000953
㠻	希	MJ000956
㡌	帽	MJ000973
㡌	帽	MJ000974
㡏	繻	MJ000975
㡓	褌	MJ000979
㡕	央	MJ000981
㡖	幢	MJ000983
㡘	縑	MJ000985
㡠	幀	MJ000994
㡢	幔	MJ000996
㡢	幔	MJ000997
㡣	龍	MJ000998
㡧	幀	MJ001001
㡬	幾	MJ001006
㡭	繼	MJ001007
㡭	継	MJ001008
㡯	宅	MJ001010
㡰	宇	MJ001011
㡱	灸	MJ001013
㡳	底	MJ001015
㡻	廖	MJ001023
㡿	斥	MJ001027
㢅	弄	MJ001033
㢆	廛	MJ001034
㢈	堆	MJ001035
㢏	庾	MJ001041
㢑	堆	MJ001042
㢓	障	MJ001044
㢕	廱	MJ001046
㢡	奬	MJ001057
㢢	弊	MJ001058
㢢	弊	MJ001059
㢣	擎	MJ001060
㢣	擎	MJ001061
㢧	卷	MJ001064
㢩	的	MJ001066
㢮	弛	MJ001069
㢯	弴	MJ001070
㢲	巽	MJ001073
㢴	西	MJ001075
㢴	西	MJ001076
㢵	弽	MJ001077
㢶	弼	MJ001078
㢸	弼	MJ001079
㢺	弦	MJ001080
㢽	餌	MJ001083
㣃	鬻	MJ001088
㣆	彌	MJ001091
㣈	肆	MJ001094
㣉	工	MJ001095
㣋	丹	MJ001096
㣍	台	MJ001098
㣏	靜	MJ001100
㣐	變	MJ001101
㣑	容	MJ001102
㣔	仃	MJ001105
㣙	宙	MJ001107
㣚	侗	MJ001108
㣛	会	MJ001109
㣠	佟	MJ001114
㣤	践	MJ001117
㣦	逶	MJ001119
㣫	動	MJ001121
㣲	微	MJ001127
㣵	達	MJ001128
㣼	忍	MJ001135
㣼	忍	MJ001136
㣽	怒	MJ001137
㤁	忝	MJ001140
㤂	急	MJ001141
㤃	妨	MJ001142
㤅	愛	MJ001144
㤅	愛	MJ001145
㤇	懊	MJ001148
㤋	紛	MJ001152
㤌	甘	MJ001153
㤍	巧	MJ001154
㤐	怗	MJ001157
㤔	怤	MJ001161
㤖	詝	MJ001163
㤙	恩	MJ001166
㤛	恁	MJ001168
㤟	恐	MJ001172
㤩	恪	MJ001182
㤪	怨	MJ001183
㤬	恚	MJ001185
㤰	怍	MJ001188
㤵	慈	MJ001193
㤹	救	MJ001197
㤺	慌	MJ001198
㤺	慌	MJ001199
㥀	徳	MJ001204
㥁	徳	MJ001205
㥃	悶	MJ001207
㥈	惵	MJ001212
㥐	怨	MJ001220
㥑	憂	MJ001221
㥒	猜	MJ001222
㥕	憐	MJ001225
㥝	弭	MJ001231
㥣	恵	MJ001237
㥤	矜	MJ001238
㥦	愜	MJ001240
㥧	順	MJ001241
㥱	悱	MJ001250
㥱	悱	MJ001251
㥲	慎	MJ001252
㥳	愿	MJ001253
㥵	慁	MJ001255
㥶	塞	MJ001256
㥸	閔	MJ001258
㥽	責	MJ001262
㥿	慠	MJ001264
㦂	常	MJ001267
㦉	懿	MJ001274
㦍	愕	MJ001278
㦑	憨	MJ001282
㦔	懕	MJ001285
㦖	懣	MJ001287
㦜	驚	MJ001292
㦡	樂	MJ001296
㦤	懿	MJ001302
㦧	惨	MJ001306
㦨	嬾	MJ001307
㦩	㥯	MJ001308
㦭	怜	MJ001312
㦮	戔	MJ001313
㦮	戔	MJ001314
㦮	戔	MJ057537
㦯	或	MJ001315
㦲	哉	MJ001318
㦷	勇	MJ001324
㦸	戟	MJ001325
㦸	戟	MJ057539
㦻	襲	MJ001328
㦿	戸	MJ001332
㧁	闔	MJ001334
㧃	収	MJ001336
㧈	引	MJ001341
㧌	毛	MJ001345
㧍	仿	MJ001346
㧖	扼	MJ001352
㧞	拔	MJ001356
㧞	抜	MJ001357
㧦	掬	MJ001364
㧧	梳	MJ001365
㧼	俵	MJ001383
㨀	抦	MJ001387
㨂	揀	MJ001389
㨄	挑	MJ001391
㨇	掬	MJ001394
㨔	撼	MJ001404
㨗	捷	MJ001407
㨗	捷	MJ001408
㨣	擁	MJ001419
㨦	㩳	MJ001422
㨨	抽	MJ001424
㨮	兜	MJ001428
㨯	擴	MJ001429
㨯	拡	MJ001430
㨱	搖	MJ001432
㨴	建	MJ001435
㨵	揃	MJ001436
㨶	搗	MJ001437
㨷	艱	MJ001438
㨺	捫	MJ001441
㨼	掠	MJ001443
㨾	樣	MJ057568
㨿	據	MJ001446
㨿	拠	MJ001447
㩀	據	MJ001448
㩃	搴	MJ001449
㩅	抽	MJ001451
㩈	捃	MJ001454
㩉	拉	MJ001455
㩒	擒	MJ001461
㩗	攜	MJ001466
㩙	塞	MJ001467
㩛	摶	MJ001469
㩜	擥	MJ001470
㩣	揮	MJ001476
㩦	攜	MJ001479
㩧	撲	MJ001480
㩪	擷	MJ001483
㩭	攪	MJ001485
㩯	掬	MJ001488
㩲	拳	MJ001491
㩻	攲	MJ001498
㩼	多	MJ001499
㩽	勑	MJ001500
㪁	拑	MJ001504
㪅	更	MJ001508
㪉	郃	MJ001512
㪋	扞	MJ001514
㪍	勃	MJ001516
㪔	散	MJ001522
㪘	斂	MJ001526
㪜	揣	MJ001528
㪜	揣	MJ057606
㪝	柬	MJ001529
㪟	敦	MJ001531
㪢	捎	MJ001534
㪣	敲	MJ001535
㪨	繕	MJ001541
㪯	擧	MJ001546
㪰	齋	MJ001547
㪶	斛	MJ001552
㪷	斗	MJ001553
㪸	斟	MJ001554
㪽	所	MJ001559
㪿	折	MJ001561
㫀	鼎	MJ001562
㫁	斷	MJ001563
㫃	偃	MJ001565
㫄	旁	MJ001566
㫄	旁	MJ059671
㫅	旗	MJ001567
㫋	旃	MJ001569
㫎	揮	MJ001571
㫑	旨	MJ001574
㫒	廾	MJ001575
㫓	気	MJ001576
㫔	艮	MJ001577
㫕	光	MJ001578
㫟	昭	MJ001587
㫡	冬	MJ001590
㫤	昶	MJ001592
