㡌	帽	MJ000974
㨂	棟	MJ001389
䐁	豚	MJ003823
丗	世	MJ006324
个	介	MJ006344
乕	虎	MJ006395
乘	乗	MJ006399
乢	蓋	MJ006407
亂	乱	MJ006426
亊	事	MJ006435
亞	亜	MJ006456
亰	京	MJ006480
从	従	MJ006512
仝	同	MJ006525
佛	仏	MJ006646
來	来	MJ006695
侠	俠	MJ006722
假	仮	MJ006895
做	作	MJ006920
傅	伝	MJ006967
傅	傳	MJ006968
傳	伝	MJ007023
僊	仙	MJ007056
僞	偽	MJ007081
價	価	MJ007121
儁	俊	MJ007129
儉	倹	MJ007140
兒	児	MJ007236
兔	兎	MJ007242
兩	両	MJ007270
册	冊	MJ007311
冐	冒	MJ007316
冨	富	MJ007353
冩	写	MJ007354
冲	沖	MJ007365
决	決	MJ007366
况	況	MJ007372
凉	涼	MJ007390
凖	準	MJ007405
凾	函	MJ007445
刄	刃	MJ007452
刧	劫	MJ007497
别	別	MJ007501
剌	刺	MJ007530
剎	刹	MJ007533
剩	剰	MJ007559
剱	剣	MJ007570
劍	剣	MJ007606
劑	剤	MJ007609
劒	剣	MJ007612
劔	剣	MJ007614
勞	労	MJ007702
勳	勲	MJ007733
勵	励	MJ007737
勸	勧	MJ007741
勹	包	MJ007742
區	区	MJ007833
卆	卒	MJ007839
卽	即	MJ007893
卷	巻	MJ007897
卻	却	MJ007906
厰	廠	MJ007962
參	参	MJ007982
吊	弔	MJ008065
吳	呉	MJ008108
吿	告	MJ008122
咏	詠	MJ008202
咒	呪	MJ008205
哥	歌	MJ008276
唔	吾	MJ008330
單	単	MJ008491
喻	喩	MJ008501
噐	器	MJ008661
嚥	咽	MJ008752
嚴	厳	MJ008773
囑	嘱	MJ008806
囘	回	MJ008813
圀	国	MJ008853
圈	圏	MJ008861
國	国	MJ008866
圍	囲	MJ008868
圓	円	MJ008877
圖	図	MJ008880
團	団	MJ008885
埀	垂	MJ009047
埜	野	MJ009077
堽	岡	MJ009187
塲	場	MJ009238
增	増	MJ009290
墮	堕	MJ009309
壓	圧	MJ009352
壘	塁	MJ009359
壞	壊	MJ009367
壤	壌	MJ009376
壯	壮	MJ009386
壳	売	MJ009390
壹	壱	MJ009397
壺	壷	MJ009398
壻	婿	MJ009399
壽	寿	MJ009401
夂	終	MJ009406
夘	卯	MJ009435
